va	mangled	size	code	class	name
00538960	?NumCars@aiMap@@AAEHHMM@Z	48	1	aiMap	NumCars
00538990	?FindRoad@aiMap@@AAEHPAVCArrayList@@H@Z	64	1	aiMap	FindRoad
005389D0	?FindInt@aiMap@@AAEHPAFHH@Z	64	1	aiMap	FindInt
00538A10	?ChooseNextRandomLink@aiMap@@QAEHPAVaiRailSet@@@Z	448	1	aiMap	ChooseNextRandomLink
00538BD0	?ChooseNextLeftStraightLink@aiMap@@QAEHPAVaiRailSet@@@Z	752	1	aiMap	ChooseNextLeftStraightLink
00538EC0	?ChooseNextRightLink@aiMap@@QAEHPAVaiRailSet@@@Z	224	1	aiMap	ChooseNextRightLink
00538FA0	?ChooseNextRightStraightLink@aiMap@@QAEHPAVaiRailSet@@@Z	784	1	aiMap	ChooseNextRightStraightLink
005392B0	?ChooseNextStraightLink@aiMap@@QAEHPAVaiRailSet@@@Z	1008	1	aiMap	ChooseNextStraightLink
005396A0	?ChooseStraightLinkAt4Way@aiMap@@QAEHPAVaiRailSet@@@Z	176	1	aiMap	ChooseStraightLinkAt4Way
00539750	?ChooseNextLaneLink@aiMap@@QAEHPAVaiRailSet@@@Z	288	1	aiMap	ChooseNextLaneLink
00539870	?ChooseNextFreewayLink@aiMap@@QAEHPAVaiRailSet@@@Z	304	1	aiMap	ChooseNextFreewayLink
005399A0	?ChooseNextRightStraightFreewayLink@aiMap@@QAEHPAVaiRailSet@@@Z	128	1	aiMap	ChooseNextRightStraightFreewayLink
00539A20	?AdjustPedestrians@aiMap@@AAEXHHH@Z	720	1	aiMap	AdjustPedestrians
00539CF0	?ClearPeds@aiMap@@QAEXPAVaiPath@@@Z	64	1	aiMap	ClearPeds
00539D30	?AddPedestrian@aiMap@@QAEXPAVaiPedestrian@@@Z	64	1	aiMap	AddPedestrian
00539D70	?RemovePedestrian@aiMap@@QAEXPAVaiPedestrian@@@Z	96	1	aiMap	RemovePedestrian
00539DD0	?AdjustAmbients@aiMap@@AAEXHHH@Z	2016	1	aiMap	AdjustAmbients
0053A5B0	?AddAmbient@aiMap@@QAEXPAVaiVehicleSpline@@@Z	80	1	aiMap	AddAmbient
0053A600	?RemoveAmbient@aiMap@@QAEXPAVaiVehicleSpline@@@Z	128	1	aiMap	RemoveAmbient
0053A680	?DetRdSegBetweenInts@aiMap@@QAEPAVaiPath@@PAVaiIntersection@@0PA_N@Z	176	1	aiMap	DetRdSegBetweenInts
0053A730	?DetRdSegBetweenInts@aiMap@@QAEPAVaiPath@@HH@Z	48	1	aiMap	DetRdSegBetweenInts
0053A760	?GoodRoadForCopStartPos@aiMap@@QAEHH@Z	64	1	aiMap	GoodRoadForCopStartPos
