# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
894e34	mov dword ptr [esi + 34h], ecx
8bcf	mov ecx, edi
c6450800	mov byte ptr [ebp + 8], 0
8b7df0	mov edi, dword ptr [ebp - 10h]
83c00c	add eax, 0Ch
8b10	mov edx, dword ptr [eax]
4a	dec edx
8910	mov dword ptr [eax], edx
85c9	test ecx, ecx
3bfe	cmp edi, esi
8b17	mov edx, dword ptr [edi]
ff12	call dword ptr [edx]
3bde	cmp ebx, esi
8b03	mov eax, dword ptr [ebx]
8bcb	mov ecx, ebx
ff10	call dword ptr [eax]
8b4dec	mov ecx, dword ptr [ebp - 14h]
3bce	cmp ecx, esi
8b11	mov edx, dword ptr [ecx]
83ec18	sub esp, 18h
ffd0	call eax
8d45e8	lea eax, [ebp - 18h]
8a5d08	mov bl, byte ptr [ebp + 8]
ff5208	call dword ptr [edx + 8]
84db	test bl, bl
8b01	mov eax, dword ptr [ecx]
ff5008	call dword ptr [eax + 8]
81ece4000000	sub esp, 0E4h
3bc3	cmp eax, ebx
bf80020000	mov edi, 280h
bee0010000	mov esi, 1E0h
8a4508	mov al, byte ptr [ebp + 8]
83c40c	add esp, 0Ch
8d8560ffffff	lea eax, [ebp - 0A0h]
66c745849400	mov word ptr [ebp - 7Ch], 94h
c745c810000000	mov dword ptr [ebp - 38h], 10h
897dcc	mov dword ptr [ebp - 34h], edi
8975d0	mov dword ptr [ebp - 30h], esi
c7458800001c00	mov dword ptr [ebp - 78h], 1C0000h
f7d8	neg eax
1bc0	sbb eax, eax
8d0489	lea eax, [ecx + ecx*4]
2bc1	sub eax, ecx
c1e004	shl eax, 4
8b485c	mov ecx, dword ptr [eax + 5Ch]
668b74c872	mov si, word ptr [eax + ecx*8 + 72h]
668b7cc870	mov di, word ptr [eax + ecx*8 + 70h]
8d4cc870	lea ecx, [eax + ecx*8 + 70h]
668b4104	mov ax, word ptr [ecx + 4]
6842010000	push 142h
8d9510ffffff	lea edx, [ebp - 0F0h]
8d8510ffffff	lea eax, [ebp - 0F0h]
85db	test ebx, ebx
6863020000	push 263h
8b4314	mov eax, dword ptr [ebx + 14h]
894314	mov dword ptr [ebx + 14h], eax
6860010000	push 160h
894508	mov dword ptr [ebp + 8], eax
83ceff	or esi, 0FFFFFFFFh
80e201	and dl, 1
68a8000000	push 0A8h
6a40	push 40h
6800020000	push 200h
6848020000	push 248h
83ec14	sub esp, 14h
8bc1	mov eax, ecx
8b7d08	mov edi, dword ptr [ebp + 8]
8b5d08	mov ebx, dword ptr [ebp + 8]
8d4dec	lea ecx, [ebp - 14h]
8d7dec	lea edi, [ebp - 14h]
8bfb	mov edi, ebx
4f	dec edi
32db	xor bl, bl
6a54	push 54h
83e001	and eax, 1
81e100010000	and ecx, 100h
2500020000	and eax, 200h
6890010000	push 190h
83e240	and edx, 40h
680000803f	push 3F800000h
6a64	push 64h
83c410	add esp, 10h
83ec10	sub esp, 10h
668b4204	mov ax, word ptr [edx + 4]
668b4a06	mov cx, word ptr [edx + 6]
8975f4	mov dword ptr [ebp - 0Ch], esi
8b5208	mov edx, dword ptr [edx + 8]
8d5df0	lea ebx, [ebp - 10h]
8b3e	mov edi, dword ptr [esi]
2bd1	sub edx, ecx
2bc8	sub ecx, eax
d1fa	sar edx, 1
d1f9	sar ecx, 1
ff571c	call dword ptr [edi + 1Ch]
68f7000000	push 0F7h
83ec20	sub esp, 20h
8d45e0	lea eax, [ebp - 20h]
c745e020000000	mov dword ptr [ebp - 20h], 20h
8b4dfc	mov ecx, dword ptr [ebp - 4]
8b55f4	mov edx, dword ptr [ebp - 0Ch]
c1e914	shr ecx, 14h
c1ea14	shr edx, 14h
c1e814	shr eax, 14h
03ca	add ecx, edx
81f900000005	cmp ecx, 5000000h
68f8000000	push 0F8h
8d45f0	lea eax, [ebp - 10h]
8d4df4	lea ecx, [ebp - 0Ch]
8d55f8	lea edx, [ebp - 8]
8d45fc	lea eax, [ebp - 4]
0faf4df8	imul ecx, dword ptr [ebp - 8]
0faf4df4	imul ecx, dword ptr [ebp - 0Ch]
81f900000200	cmp ecx, 20000h
68f9000000	push 0F9h
8965e8	mov dword ptr [ebp - 18h], esp
c745e001000000	mov dword ptr [ebp - 20h], 1
d97de4	fnstcw word ptr [ebp - 1Ch]
8165e4feff0000	and dword ptr [ebp - 1Ch], 0FFFEh
d96de4	fldcw word ptr [ebp - 1Ch]
8945e0	mov dword ptr [ebp - 20h], eax
8b65e8	mov esp, dword ptr [ebp - 18h]
8b45e0	mov eax, dword ptr [ebp - 20h]
8b4df0	mov ecx, dword ptr [ebp - 10h]
81ecdc000000	sub esp, 0DCh
a801	test al, 1
8ad0	mov dl, al
80ca01	or dl, 1
8d8d24ffffff	lea ecx, [ebp - 0DCh]
6800200000	push 2000h
8d9524ffffff	lea edx, [ebp - 0DCh]
8bc6	mov eax, esi
